Date,Teams_Result,JerseyNo,Player,Position,Goals,Penalties,YellowCards,RedCards,IsSubstitute,Temperature,Humidity,Precipitation,WindSpeed,Pressure,Position_Encoded,Match_Result,Match_Result_Encoded,Player_Avg_Goals,Substitute_Goals_Interaction,Weather_Condition
2021-08-28,Manchester City 5:0 Arsenal,20,Bernardo Silva,Midfielder/Forward,0,0,0,0,1,0.9999999999999999,1.0,0.0,0.37331081081081097,0.7542888765910347,5,Win,2,1.0,0,1.0
2021-10-23,Brighton and Hove Albion 1:4 Manchester City,20,Bernardo Silva,Midfielder/Forward,1,0,0,0,0,0.3580246913580245,0.34482758620689663,0.15384615384615385,0.9667792792792796,0.2335362479247371,5,Win,2,0.6666666666666666,0,0.21945001456801547
2021-12-01,Aston Villa 1:2 Manchester City,20,Bernardo Silva,Midfielder/Forward,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,5,Win,2,0.75,0,0.006427065658902789
2021-12-11,Manchester City 1:0 Wolverhampton Wanderers,20,Bernardo Silva,Midfielder/Forward,1,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,5,Win,2,0.6,0,0.006427065658902789
2021-12-11,Manchester City 1:0 Wolverhampton Wanderers,20,Bernardo Silva,Midfielder/Forward,0,0,0,0,1,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,5,Win,2,0.6666666666666666,0,0.006427065658902789
2021-12-14,Manchester City 7:0 Leeds United,20,Bernardo Silva,Midfielder/Forward,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,5,Win,2,0.5714285714285714,0,0.006427065658902789
2021-12-14,Manchester City 7:0 Leeds United,20,Bernardo Silva,Midfielder/Forward,0,0,0,0,1,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,5,Win,2,0.5,0,0.006427065658902789
2021-12-29,Brentford 0:1 Manchester City,20,Bernardo Silva,Midfielder/Forward,1,0,1,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,5,Win,2,0.4444444444444444,0,0.006427065658902789
2022-01-01,Arsenal 1:2 Manchester City,20,Bernardo Silva,Midfielder/Forward,0,0,0,0,1,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,5,Win,2,0.5,0,0.0
2022-01-22,Southampton 1:1 Manchester City,20,Bernardo Silva,Midfielder/Forward,1,0,0,0,0,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,5,Draw,0,0.45454545454545453,0,0.0
2022-01-22,Southampton 1:1 Manchester City,20,Bernardo Silva,Midfielder/Forward,1,0,0,0,0,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,5,Draw,0,0.5,0,0.0
2022-02-12,Norwich City 0:4 Manchester City,20,Bernardo Silva,Midfielder/Forward,1,0,0,0,0,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,5,Win,2,0.5384615384615384,0,0.01591127221622364
